id,kostat_category_5_code,kostat_category_5_name,pdeck_category_2_code,pdeck_category_2_name
2167,72121,건물 및 토목 엔지니어링 서비스업,9903,부동산 임대
2168,72122,환경 관련 엔지니어링 서비스업,0605,환경기술
2169,72129,기타 엔지니어링 서비스업,9903,부동산 임대
2170,72911,물질 성분 검사 및 분석업,0901,바이오테크놀로지
2171,72919,기타 기술 시험검사 및 분석업,0301,일반기계/정밀기계
2172,72921,측량업,9903,부동산 임대
2173,72922,제도업,9903,부동산 임대
2174,72923,지질 조사 및 탐사업,0602,석유/가스/광업
2175,72924,지도 제작업,0605,환경기술
2176,73100,수의업,0901,바이오테크놀로지
2177,73201,인테리어 디자인업,9903,부동산 임대
2178,73202,제품 디자인업,0799,기타
2179,73203,시각 디자인업,0799,기타
2180,73209,"패션, 섬유류 및 기타 전문 디자인업",0703,소비재
2181,73301,인물 사진 및 행사용 영상 촬영업,0803,영상/출판방송
2182,73302,상업용 사진 촬영업,0803,영상/출판방송
2183,73303,사진 처리업,0803,영상/출판방송
2184,73901,매니저업,0899,기타
2185,73902,번역 및 통역 서비스업,0899,기타
2186,73903,사업 및 무형 재산권 중개업,0599,기타
2187,73904,물품 감정계량 및 견본 추출업,0301,일반기계/정밀기계
2188,73909,그 외 기타 분류 안된 전문과학 및 기술 서비스업,9903,부동산 임대
2189,74100,사업시설 유지ㆍ관리 서비스업,0605,환경기술
2190,74211,건축물 일반 청소업,0605,환경기술
2191,74212,"산업설비, 운송장비 및 공공장소 청소업",0605,환경기술
2192,74220,소독구충 및 방제 서비스업,0605,환경기술
2193,74300,조경관리 및 유지 서비스업,0605,환경기술
2194,75110,고용 알선업,0599,기타
2195,75121,임시 및 일용 인력 공급업,0599,기타
2196,75122,상용 인력 공급 및 인사관리 서비스업,0599,기타
2197,75210,여행사업,0804,"여행, 여가/ 스포츠"
2198,75290,기타 여행 보조 및 예약 서비스업,0804,"여행, 여가/ 스포츠"
2199,75310,경비 및 경호 서비스업,0599,기타
2200,75320,보안 시스템 서비스업,9903,부동산 임대
2201,75330,탐정 및 조사 서비스업,0599,기타
2202,75911,문서 작성업,0599,기타
2203,75912,복사업,0799,기타
